Código Departamento;Código Municipio;Código Centro Poblado;Nombre Departamento;Nombre Municipio;Nombre Centro Poblado;Tipo Centro Poblado;Longitud;Latitud;Tipo de Municipio
5;5001;5001000;ANTIOQUIA;MEDELLÍN;MEDELLÍN;CABECERA MUNICIPAL (CM);-75,57705563;6,24894081;MUNICIPIO
5;5001;5001001;ANTIOQUIA;MEDELLÍN;PALMITAS;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,68852227;6,343780178;MUNICIPIO
5;5001;5001004;ANTIOQUIA;MEDELLÍN;SANTA ELENA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,49793901;6,209924695;MUNICIPIO
5;5001;5001009;ANTIOQUIA;MEDELLÍN;ALTAVISTA;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,62341906;6,223283255;MUNICIPIO
5;5001;5001010;ANTIOQUIA;MEDELLÍN;AGUAS FRÍAS;CABECERA CORREGIMIENTO MUNICIPAL (C);-75,62689601;6,233654125;MUNICIPIO
5;5001;5001012;ANTIOQUIA;MEDELLÍN;LA LOMA;CENTRO POBLADO (CP);-75,63049667;6,271287012;MUNICIPIO
5;5001;5001013;ANTIOQUIA;MEDELLÍN;SAN JOSÉ DEL MANZANILLO;CENTRO POBLADO (CP);-75,61332616;6,205979357;MUNICIPIO
5;5001;5001014;ANTIOQUIA;MEDELLÍN;BARRO BLANCO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001015;ANTIOQUIA;MEDELLÍN;EL CERRO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001017;ANTIOQUIA;MEDELLÍN;EL PATIO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001018;ANTIOQUIA;MEDELLÍN;EL PLACER;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001019;ANTIOQUIA;MEDELLÍN;EL PLAN;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001022;ANTIOQUIA;MEDELLÍN;LA ALDEA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001023;ANTIOQUIA;MEDELLÍN;LA CUCHILLA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001025;ANTIOQUIA;MEDELLÍN;LA PALMA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001027;ANTIOQUIA;MEDELLÍN;LAS PLAYAS;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001029;ANTIOQUIA;MEDELLÍN;PIEDRA GORDA;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
5;5001;5001031;ANTIOQUIA;MEDELLÍN;POTRERITO;CENTRO POBLADO (CP);-75,61147149;6,257732057;MUNICIPIO
